NFT Name,Count,%Area,Perimeter,Major,Minor,Angle,Circularity,Integrated density,Skewness,Kurtosis
Fingerprint #1998,20,10.14970,789.80138,141.98828,29.14942,118.60437,0.27853,1193582.60000,-1.92015,2.99999
Fingerprint #1999,14,10.17460,1032.97082,97.67486,41.16348,82.07768,0.41694,1710248.57143,-1.31843,1.38942
Fingerprint #2000,15,10.17200,987.35674,139.02137,47.43878,110.08640,0.22983,1596712.26667,-2.03053,3.48310
Fingerprint #2001,17,10.22160,852.70365,75.18378,31.30721,103.83879,0.46816,1416453.58824,-1.07827,0.96548
Fingerprint #2002,17,10.18160,862.23094,143.82705,32.71366,135.32722,0.28417,1408978.05882,-2.11761,3.53507
Fingerprint #2003,24,10.09690,647.67148,97.20768,30.67130,91.18619,0.41651,989798.08333,-1.47647,1.87755
Fingerprint #2004,15,10.17400,1032.71228,162.83339,45.52363,118.50175,0.14131,1595007.00000,-2.31572,4.20214
Fingerprint #2005,13,10.25100,1175.09841,202.50138,44.17125,136.61653,0.11679,1856583.69231,-2.42208,4.71961
Fingerprint #2006,18,10.14240,793.61342,111.00928,36.55252,60.95207,0.27950,1326475.11111,-1.78614,2.59198
Fingerprint #2007,18,10.18000,882.86188,175.72556,32.70106,120.24636,0.18215,1330788.88889,-2.31480,4.24544
Fingerprint #2008,16,10.16940,1015.55219,114.08686,35.65364,100.04292,0.25479,1497044.62500,-1.93982,2.77016
Fingerprint #2009,11,10.14720,1449.12541,128.52557,48.46509,88.24797,0.23770,2170941.45455,-1.62267,2.39134
Fingerprint #2010,18,10.15950,976.96308,157.80977,33.32703,143.99912,0.16540,1327907.72222,-2.27564,4.05470
Fingerprint #2011,15,10.22420,984.48325,138.27702,41.61992,99.89251,0.23700,1606062.60000,-1.98806,3.20243
Fingerprint #2012,18,10.22590,745.27516,114.43494,43.82340,96.31297,0.25226,1336438.22222,-2.20685,3.74792
Fingerprint #2013,13,10.25100,1175.09841,202.50138,44.17125,136.61653,0.11679,1856583.69231,-2.42208,4.71961
Fingerprint #2014,18,10.15270,818.55630,124.73809,30.91117,127.44292,0.29062,1326257.72222,-1.89721,2.76855
Fingerprint #2015,22,10.19550,677.38527,117.81106,30.08099,103.07093,0.36718,1091292.40909,-1.84300,2.66796
Fingerprint #2016,18,10.20110,862.64470,161.62447,36.09726,130.34678,0.19339,1333308.72222,-2.26883,4.03033
Fingerprint #2017,22,10.17720,714.90123,104.48241,30.33142,98.69247,0.41246,1088138.50000,-1.40981,1.71536
Fingerprint #2018,7,10.19770,2114.36354,109.67602,54.85598,58.71406,0.27084,3427606.42857,-1.37568,1.21606
Fingerprint #2019,14,10.19340,1095.96927,136.42875,35.57098,122.22294,0.27774,1713899.35714,-1.69227,2.23143
Fingerprint #2020,8,10.22490,1919.02345,158.91756,48.21842,92.27200,0.32938,3009746.50000,-1.73239,2.72072
Fingerprint #2021,10,10.19510,1552.14220,143.42838,58.65751,98.99748,0.27128,2398778.90000,-1.97076,3.16532
Fingerprint #2022,19,10.13330,750.76787,140.17399,38.19722,123.07214,0.22859,1254206.05263,-2.26676,4.00613
